id,question,choice1,choice2,choice3,correctAnswer,explanation,theme,imageUrl,imagePath
q14,12世紀に海上交通の安全を祈願し、厳島神社の社殿を整備した人物は？,源頼朝,足利義満,徳川家康,平清盛,平安時代末期、武士として絶大な権力を誇った平清盛が、日宋貿易の拠点だった瀬戸内海の航海安全と、平家一門の繁栄を祈願するために、厳島神社を篤く信仰し、現在のような海上に浮かぶ壮麗な社殿に整備しました。他の選択肢の人物は活躍した時代が異なります。,日本の世界遺産,,
q15,沖ノ島では、4世紀後半から約500年間にわたり、どのような国家的祭祀が行われたでしょうか？,五穀豊穣の祭祀,王の即位を祝う戴冠式,仏教の布教を目的とした祈祷,航海安全の祭祀,沖ノ島では、大陸との交流が盛んだった古代に、航海の安全や国家の繁栄を祈る祭祀が行われていました。出土品の多くは、当時の日本と大陸とのつながりを示す貴重な文化遺産です。,日本の世界遺産,,
q16,沖縄本島北部にのみ生息する、飛ぶことがほとんどできない鳥はどれですか？,オオワシ,トキ,コウノトリ,ヤンバルクイナ,ヤンバルクイナは1981年に新種として発見された、日本固有の鳥です。沖縄本島北部（やんばる）の森にのみ生息し、絶滅危惧種に指定されています。飛ぶ力が弱く、主に地上で生活しています。,日本の世界遺産,,
q17,2025年現在、日本の暫定リストに記載されていないものは？,古都鎌倉の寺院・寺社ほか,彦根城,飛鳥・藤原の宮都,佐渡山の金山,佐渡の金山は、2024年に文化遺産で登録されました。試験前は最新の暫定リストを確認し、推薦が進んでいる遺産についても調べておきましょう。,日本の世界遺産,,
q18,フランス北西部にあり、聖ミカエルのお告げによって建てられ、満潮時には島になる世界遺産はどれですか？,ノートルダム大聖堂,エッフェル塔,ベルサイユ宮殿,モン・サン＝ミッシェル,モン・サン＝ミッシェルはフランス北西部の湾にある修道院で、「海に浮かぶ奇跡」とも呼ばれます。潮の満ち引きによって島と陸を行き来できる独特の地形が特徴です。,世界の世界遺産,,
q19,小笠原諸島で確認されている95％が固有種とされる陸産貝類は何の仲間？,ヒトデ,アサリ,サンゴ,カタツムリ,小笠原諸島は「東洋のガラパゴス」とも呼ばれ、独自の進化を遂げた生物が多く見られます。特に陸産貝類の多くはカタツムリの仲間で、その約95％が小笠原固有種です。,日本の世界遺産,,
q20,明治政府が殖産興業の一環として群馬県に立てた施設名は？,黒部ダム,札幌時計台,八幡製鉄所,富岡製糸場,富岡製糸場は1872年に明治政府が建設した日本初の官営模範製糸場で、近代産業の発展に大きく貢献しました。,日本の世界遺産,,
q21,白川郷・五箇山の合掌造り集落の特徴として当てはまるものは？,雨がほとんど降らない乾燥地帯,一年中高温多湿な地域,常春と呼ばれる温暖な地帯,日本有数の豪雪地帯,白川郷・五箇山の合掌造り集落は、岐阜県と富山県の山間部にあり、冬には数メートルもの雪が積もる豪雪地帯です。急勾配の茅葺き屋根は、その雪を落とすための工夫です。,日本の世界遺産,,
q22,「シリアル・サイト」の説明として正しいものを選べ,世界で最も早く登録された遺産のこと,危機遺産リストに登録された遺産のこと,世界遺産の中でも特に人気の高い観光地のこと,共通の価値をもつ複数の場所をまとめて1つの世界遺産として登録したもの,「シリアル・サイト」とは、地理的に離れていても、歴史的・文化的・自然的なテーマや価値を共有する複数の資産をひとまとめにして登録した世界遺産のことです。,世界の世界遺産,,
q23,「トランスバウンダリー・サイト」の説明として正しいものを選べ,複数の時代にわたって改修された建築物群,危機遺産リストに登録された国際的な遺産,国の中で複数の自治体が共同で管理する世界遺産,国境を越えて複数の国にまたがる世界遺産,トランスバウンダリー・サイトとは、2か国以上の国境をまたいで存在する世界遺産のことです。,世界の世界遺産,,
q24,アメリカにある自由の女神像の正式名称は？,アメリカ独立記念像,自由と平等の女神像,自由と独立の女神,世界を照らす自由の女神,自由の女神像の正式名称は「Liberty Enlightening the World（世界を照らす自由の女神）」です。1886年にフランスからアメリカへ贈られ、ニューヨーク港のリバティ島に建てられました。,世界の世界遺産,,
q25,潜伏キリシタンの英語表記は？,Secret Catholics,Silent Catholics,Underground Christians,Hidden Christians,「潜伏キリシタン（Hidden Christians）」とは、江戸時代にキリスト教が禁じられていた時期に、信仰を密かに守り続けた人々を指します。世界遺産「長崎と天草地方の潜伏キリシタン関連遺産」にもその歴史が反映されています。,日本の世界遺産,,
q26,ドイツの世界遺産「エッセンのツォルフェライン炭鉱業遺跡群」の「ツォルフェライン」の意味は？,炭鉱同盟,鋼鉄同盟,労働同盟,関税同盟,「ツォルフェライン（Zollverein）」はドイツ語で「関税同盟」を意味します。19世紀のドイツで経済統合を進めるために結成された「ドイツ関税同盟」にちなんで名づけられました。,世界の世界遺産,,
q27,坂上田村麻呂が富士山のふもとで行ったとされることはどれですか？,富士山を初めて測量した,富士山の溶岩で武器を作った,富士山の噴火を鎮めるために登頂した,富士山の神をまつるため浅間神社を創建した,坂上田村麻呂は平安時代の武将で、富士山の噴火を鎮めるために神をまつる浅間神社を建てたと伝えられています。これが後の「浅間信仰」の始まりとされています。,日本の世界遺産,,
q28,富士山の女神として信仰されている神は誰ですか？,アマテラスオオミカミ,イザナミノミコト,ベンザイテン,コノハナサクヤヒメノミコト,コノハナサクヤヒメノミコトは、富士山の噴火を象徴する「火の神」として、また美しい花のように命を輝かせる存在として信仰されてきました。浅間神社の主祭神でもあります。,日本の世界遺産,,
q29,富士山本宮浅間大社はどのような役割をもつ神社でしょうか？,富士登山の安全を祈るお寺,火山研究を行う国立施設,富士山の噴火を観測する展望所,富士山を神としてまつる総本宮,富士山本宮浅間大社（静岡県富士宮市）は全国1300以上ある浅間神社の総本宮です。富士山そのものを神体としてまつり、登山者や信仰者の中心的拠点となっています。,日本の世界遺産,,
q30,富士山における「登拝」とは何を意味しますか？,富士山の写真を撮る観光活動,富士山周辺を自転車で巡る競技,富士山の資料を集めて展示すること,富士山に登って神に祈る宗教的行為,登拝とは、山を神聖な存在としてあがめ、その山に登ることで神とつながろうとする信仰行為です。富士山では古くから修験者や信者たちが登拝を行い、信仰の象徴となってきました。,日本の世界遺産,,
q31,江戸時代に広まった「富士講」とはどのような集まりですか？,富士山の登山ルートを研究する学者の会,富士山の絵を描く芸術家のグループ,富士山周辺の温泉を紹介する観光団体,富士山への信仰を中心に活動する信者の集まり,「富士講」は、富士山を神聖視する人々がつくった信仰集団です。江戸庶民も講を通じて富士登拝を行うようになり、信仰が広く庶民文化に根づきました。,日本の世界遺産,,
q32,「富士五湖」に含まれない湖はどれですか？,河口湖,山中湖,精進湖,芦ノ湖,富士五湖は「本栖湖・精進湖・西湖・河口湖・山中湖」です。芦ノ湖は箱根にある湖で、富士山の火山活動とは別の地形に形成されたため含まれません。,日本の世界遺産,,
q33,富士山周辺で語り継がれる「羽衣伝説」の舞台となった場所はどこですか？,河口湖,忍野八海,富士山本宮浅間大社,三保の松原,「三保の松原」は、天女が羽衣を松にかけて舞い降りたという伝説で知られています。富士山を背景にした美しい景観とともに、信仰と芸術を象徴する場所として世界遺産の構成資産に含まれています。,日本の世界遺産,,
q34,「富嶽三十六景」を描いた江戸時代の浮世絵師は誰ですか？,歌川広重,狩野永徳,伊藤若冲,葛飾北斎,「富嶽三十六景」は、葛飾北斎による富士山を題材とした浮世絵シリーズです。さまざまな角度や季節の富士山が描かれ、日本人の富士信仰と美意識を世界に広めました。,日本の世界遺産,,
q35,知床が世界自然遺産に登録された理由のひとつである「季節海氷域」とは、どのような環境を指すでしょう？,一年中氷に覆われる永久凍土の地域,湖が氷に閉ざされる高山地帯,氷河が海へ流れ込む氷河前線地帯,季節によって海面が氷で覆われたり溶けたりする地域,知床は世界でも珍しい「季節海氷域」に位置し、冬になるとオホーツク海を流氷が覆います。この流氷が海洋生態系に豊富な栄養塩をもたらし、多様な生物を支えています。,日本の世界遺産,,
q36,知床の自然が高く評価されている理由のひとつに「食物連鎖のつながり」があります。次のうち、知床の食物連鎖を最も正しく表しているのはどれでしょう？,流氷の下の植物プランクトン → 魚 → アザラシ → ホッキョクグマ,陸上植物 → シカ → オオカミ → ワシ,サンゴ → クマノミ → カメ → トド,植物プランクトン → 魚 → サケ → ヒグマ,流氷がもたらす栄養を植物プランクトンが吸収し、それを小魚やサケが食べ、さらにヒグマが捕食します。海と陸をつなぐこの食物連鎖が知床の特徴です。,日本の世界遺産,,
q37,「しれとこ100平方メートル運動」とは、どのような目的で始められた活動でしょう？,農地を拡大し地域産業を発展させるための運動,知床の観光地を広げるための都市計画,世界遺産登録を目指した署名活動,開発された土地を買い戻して自然を再生させる運動,「しれとこ100平方メートル運動」は1977年に始まった市民運動で、荒れた土地を買い取り自然を取り戻すことを目的としました。現在も続く環境保全活動です。,日本の世界遺産,,
q38,知床とフィレンツェにはある共通点があります。に当てはまるものはどれでしょう？,火山活動,文化的景観,山岳信仰,緯度が同じ,知床半島は、気候が穏やかなフィレンツェとほほ同緯度にある。,日本の世界遺産,,
q39,オホーツク海の海水が凍るのは、ユーラシア大陸を流れるアムール川から○○が流れ込むからである。○○に入る言葉は？,プランクトン,薬品,ミネラル,淡水,淡水によって海水の塩分濃度が下がり、海氷が凍る。,日本の世界遺産,,
q40,知床の海で見られる「クリオネ」はどのような生き物でしょう？,魚の一種で氷の下に巣を作る,クラゲの仲間で発光する,貝殻を持つ陸生生物,海にすむ小型の貝の仲間で、流氷の下を漂うプランクトン,クリオネは「流氷の天使」とも呼ばれる小さな貝の仲間で、オホーツク海の流氷下で生きる代表的なプランクトンです。,日本の世界遺産,,
q41,知床の川に生息する「オショロコマ」はどんな特徴を持つ魚でしょう？,熱帯の淡水魚で暖かい川に生息する,海で一生を過ごす回遊魚,海水と淡水を行き来しない湖沼性魚,冷たい淡水にすむサケ科の魚で、美しい斑点を持つ,オショロコマは冷たい川にすむサケ科の魚で、美しい体色が特徴です。知床の清流を象徴する生き物です。,日本の世界遺産,,
q42,知床を代表する動物「ヒグマ」は、生態系の中でどんな役割を果たしているでしょう？,森の樹木を伐採して生態系を変える,他の動物を絶滅に追いやる外来種,食物連鎖の下位に位置する草食動物,サケなどを食べ、海の栄養を森に運ぶ存在,ヒグマはサケを捕らえて食べ、その栄養を陸地へ運ぶことで森林の肥沃化に貢献しています。知床の「森と海をつなぐ」キーストーン種です。,日本の世界遺産,,
q43,「四川省のジャイアントパンダ保護区群」が世界遺産に登録された主な理由の一つである“絶滅危惧種の保護”に関連して、正しい説明はどれでしょう？,ジャイアントパンダは絶滅した動物である,絶滅危惧種はすべて人工繁殖のみで維持されている,絶滅危惧種とは外来種のことを指す,絶滅の危機にある生物種を保護・繁殖する対象とする,絶滅危惧種とは、個体数が減少して自然界での存続が危ぶまれている生物を指します。四川省の保護区群では、ジャイアントパンダをはじめ多くの貴重な種が守られています。,世界の世界遺産,,
q44,「北海道・北東北の縄文遺跡群」は、どの時代の人々の暮らしを伝える遺跡でしょう？,弥生時代,古墳時代,飛鳥時代,縄文時代,約1万5000年前から約2400年前の縄文時代の人々の生活や信仰を今に伝える遺跡群で、自然と共生した暮らしの跡が残されています。,日本の世界遺産,,
q45,青森県の「三内丸山遺跡」は、どのような特徴を持つ縄文遺跡でしょう？,短期間の狩猟キャンプ跡,弥生時代の稲作遺跡,戦国時代の砦跡,大型竪穴住居や高床式倉庫が見られる大規模集落跡,三内丸山遺跡は日本最大級の縄文集落で、長期間にわたり人々が定住し、社会的なつながりを築いていたことが分かる重要な遺跡です。,日本の世界遺産,,
q46,秋田県の「大湯環状列石」は、縄文人がどのような目的で築いたと考えられていますか？,農耕のための畑の境界線,住居の基礎となる建築物,狩猟の罠を設置するための目印,祭祀や埋葬のために石を並べた遺構,大湯環状列石は祭祀や埋葬の場と考えられ、縄文人の精神文化や信仰を示す代表的な遺跡です。円形に石を並べた美しい造形が特徴です。,日本の世界遺産,,
q47,縄文人が定住生活を送るようになった理由として最も適切なのはどれでしょう？,鉄器を作る技術を得たため,気候が寒冷化し移動が困難になったため,狩猟動物が減少したため,狩猟・採集・漁労によって安定した食料を得られるようになったため,縄文人は自然の恵みを活かし、狩猟・採集・漁労で安定した食料を得ることができたため、同じ場所に定住するようになりました。,日本の世界遺産,,
q48,縄文時代に使われた「黒曜石」や「アスファルト」はどのような用途に使われていたでしょう？,貨幣や装飾品としてのみ使用された,建築資材として住居の柱に使われた,火を起こす燃料として使われた,黒曜石は石器の材料、アスファルトは接着剤として使用された,黒曜石は鋭い刃物などの石器を作るため、アスファルトは道具や装飾品を固定する接着剤として用いられ、縄文人の高い技術を示しています。,日本の世界遺産,,
q49,白神山地の地形はどのような自然現象によって形成されたでしょう？,火山活動による隆起,風化作用による浸食,河川流による削剥,地殻変動による隆起,白神山地は地殻変動によって形成された隆起地帯で、起伏に富んだ地形と豊かな森が特徴です。,日本の世界遺産,,
q50,白神山地が世界自然遺産に登録された主な理由のひとつは何でしょう？,人工的に造成されたスギ林,外来種に覆われた針葉樹林,乾燥地に広がる砂漠林,原生的なブナ林が広がる森林,白神山地には人の手がほとんど入っていない原生ブナ林が広がり、温帯林の代表例として評価されています。,日本の世界遺産,,
q51,白神山地に多く見られる「固有種」とは、どのような生物のことを指すでしょう？,移動してきた外来種,人が育てた栽培種,季節により変化する渡り種,その地域にしか生息しない種,固有種とは、その地域のみに生息する独自の生物で、白神山地には多くの固有植物や昆虫が存在します。,日本の世界遺産,,
q52,白神山地に生息する「クマゲラ」はどんな鳥でしょう？,小型のキツツキ科の鳥,熱帯に生息する水鳥,渡りを行う海鳥,日本最大級のキツツキの一種,クマゲラは日本最大のキツツキで、白神山地の古木に巣を作ることから、原生林の象徴とされています。,日本の世界遺産,,
q53,白神山地に生息する「ニホンカモシカ」はどんな動物でしょう？,外国から持ち込まれた哺乳類,山岳地帯にすむ有袋類,群れをつくる草食動物,日本固有のウシ科哺乳類,ニホンカモシカは日本のみに生息するウシ科の哺乳類で、白神山地の森で単独行動をとることが多いです。,日本の世界遺産,,
q54,「アオモリマンテマ」と呼ばれる植物はどのような特徴をもつでしょう？,湿地に生えるシダ類,低地に分布する竹の仲間,外来種として持ち込まれた草本,白神山地にのみ自生する高山植物,アオモリマンテマは白神山地の冷涼な気候に適応した高山植物で、地域固有の種として知られます。,日本の世界遺産,,
q55,カナイマ国立公園の象徴的な地形「テーブルマウンテン」はどのようにできたでしょう？,火山の噴出による堆積,地震による地盤沈下,風の堆積でできた砂丘,侵食によって平らな台地が残った,テーブルマウンテンは、侵食によって周囲が削られ、平らな山頂が残った台地で、ギアナ高地特有の地形です。,世界の世界遺産,,
q56,「アンヘルの滝」は世界一の落差を誇る滝ですが、どの国にあるでしょう？,コロンビア,ペルー,ボリビア,ベネズエラ,アンヘルの滝はベネズエラにあり、979mの落差を持つ世界一高い滝として知られます。,世界の世界遺産,,
q57,ペルシア庭園の起源はどの王朝時代にさかのぼるでしょう？,ササン朝ペルシア,パルティア王朝,イスラム王朝期,アケメネス朝ペルシア,ペルシア庭園の原型はアケメネス朝ペルシアの王たちによって築かれ、自然と秩序の調和を象徴しました。,世界の世界遺産,,
q58,ペルシア庭園の思想に影響を与えた宗教はどれでしょう？,仏教,キリスト教,道教,ゾロアスター教,ゾロアスター教は光と水を神聖視する宗教で、その思想がペルシア庭園の水路や構造に反映されました。,世界の世界遺産,,
q59,ペルシア庭園の構造が「エデンの園」のイメージと結びつく理由はどれでしょう？,塔のある神殿構造,乾燥地の砂庭構造,地下回廊の設計,四つの水路で区切られた庭園構造,ペルシア庭園の「チャハル・バーグ（四分庭）」の構造は、四つの川に囲まれたエデンの園の象徴とされています。,世界の世界遺産,,
q60,「チャハル・バーグ」と呼ばれるペルシア庭園の構造とはどれでしょう？,四方に塔を立てた庭園,四神を祀る聖域,四季を象徴する庭園,四分割された十字型庭園,チャハル・バーグは庭園を十字形に分け、中央に水を配置する構造で、秩序と神聖さを象徴しています。,世界の世界遺産,,
q61,古代ローマ人がラス・メドゥラスで行った採掘法「ルイナ・モンティウム」とはどのような方法でしょう？,鉱石を焼いて融かす方法,鍾乳洞を掘り進める方法,人力で土を掘る方法,水圧で山を崩す方法,ルイナ・モンティウムとは、水を山の内部に流し込み水圧で崩す採掘法で、ラス・メドゥラスの赤い断崖がその跡です。,世界の世界遺産,,
q62,日光の山々は修験道の聖地でもありますが、「修験道」とは何を意味するでしょう？,仏典を朗読する宗派,海辺で修行する宗教,平地で布教する活動,山で修行し自然と一体化する信仰,修験道は山岳修行を通じて自然と一体化を目指す信仰で、日光山も古くから霊場とされました。,日本の世界遺産,,
q63,日光東照宮はどの人物を祀る社でしょう？,豊臣秀吉,足利義満,織田信長,徳川家康,東照宮は徳川家康を祀る神社で、豪華絢爛な彫刻と色彩豊かな装飾が特徴です。,日本の世界遺産,,
q64,「寛永の大造替」とは何を指す出来事でしょう？,神仏分離令の発令,江戸城の改築,五重塔の建設,東照宮の大改修,寛永13年（1636年）に行われた東照宮の大改修で、現在の社殿群がこのとき完成しました。,日本の世界遺産,,
q65,日光の社寺で見られた「神仏習合」とはどのような考えでしょう？,神と仏を区別して祀る思想,仏教を排除する運動,道教と融合した信仰,神と仏を一体の存在として祀る思想,神仏習合とは、日本古来の神と仏教の仏を同一視する思想で、日光の社寺でもその形が残っています。,日本の世界遺産,,
q66,佐渡島が江戸時代に栄えた最大の理由として正しいのはどれでしょう？,交通の要地として栄えたから,農業が盛んであったから,外国貿易の拠点だったから,豊富な金鉱脈が発見されたから,佐渡島は金鉱脈の発見によって幕府直轄地となり、日本最大級の金銀生産地として繁栄しました。,日本の世界遺産,,
q67,『古事記』における佐渡島の記述として正しいのはどれでしょう？,登場しない地域として描かれている,海外の伝説地として登場する,人物の生誕地として語られる,イザナミが生んだ8つの島の7番目に生まれた島,『古事記』には佐渡島が日本の国土の一部として登場し、古くから日本の領域として認識されていました。,日本の世界遺産,,
q68,西三川砂金山で行われていた採掘方法として正しいのはどれでしょう？,火薬を使った発破採掘,地下坑道を掘る坑内採掘,海辺を掘削する沿岸採掘,川底の砂金を採取する砂金採掘,西三川砂金山では川底に堆積した砂金を採取する方法が行われ、日本最古級の砂金採掘地とされています。,日本の世界遺産,,
q69,江戸幕府の経済を支えた相川鶴子金銀山の特徴として正しいのはどれでしょう？,私的経営の金鉱山であった,海外企業により運営された,戦国大名の直轄鉱山であった,幕府直轄の金銀生産拠点であった,相川鶴子金銀山は幕府直轄の金銀生産地として整備され、江戸の財政を支える重要な役割を果たしました。,日本の世界遺産,,
q70,「道遊の割戸」とは佐渡金山のどのような特徴的景観を指すでしょう？,溶岩で埋まった山の跡,風化で削られた岩の谷,地震で裂けた山の割れ目,採掘によって山が割れた跡,道遊の割戸は金採掘を続けた結果、山の中央が大きく割れた跡であり、佐渡金山を象徴する風景です。,日本の世界遺産,,
q71,奥州藤原氏の初代・藤原清衡が建立した寺院として正しいのはどれでしょう？,東大寺,延暦寺,金閣寺,中尊寺,藤原清衡は戦乱で亡くなった人々を弔うために中尊寺を建立し、平和と浄土を願う文化の礎を築きました。,日本の世界遺産,,
q72,平泉の建築群に込められた思想として正しいのはどれでしょう？,修験道思想,陰陽道思想,道教思想,浄土思想,浄土思想とは、阿弥陀仏の極楽浄土を現世に再現する考え方で、平泉の庭園や寺院の配置に反映されています。,日本の世界遺産,,
q73,「奥州」とは現在のどの地域を指す言葉でしょう？,北海道地方,関東地方,北陸地方,東北地方,奥州は東北地方の古称で、平泉はその政治・文化の中心として栄えました。,日本の世界遺産,,
q74,「仏国土（浄土）」とはどのような世界を意味する言葉でしょう？,人間が暮らす現世,僧侶が修行する山岳,神々が住む天界,仏が治める理想の世界,仏国土（浄土）は仏が治める清らかで平和な理想世界を指し、平泉ではその再現を目指した建築が造られました。,日本の世界遺産,,
q75,中尊寺金色堂の特徴として最も正しいのはどれでしょう？,石造りの仏堂,木造の漆黒堂,茅葺き屋根の建築,金箔で覆われた阿弥陀堂,金色堂は内部も外部も金箔で装飾され、阿弥陀如来を中心に藤原三代の遺体が安置されています。,日本の世界遺産,,
q76,平泉の「構成資産」に含まれない施設として正しいのはどれでしょう？,毛越寺,無量光院跡,観自在王院跡,東大寺,東大寺は奈良にある別の世界遺産で、平泉の構成資産には含まれていません。,日本の世界遺産,,
q77,浄土庭園の配置は阿弥陀仏の極楽浄土を表していますが、それはどの方角を象徴しているでしょう？,東方,南方,北方,西方,浄土思想では阿弥陀仏の極楽は西方にあるとされ、平泉の庭園も西を正面に設計されています。,日本の世界遺産,,
q78,タージ・マハルを建設した王朝として正しいのはどれでしょう？,オスマン帝国,サファヴィー朝,グプタ王朝,ムガル帝国,タージ・マハルはムガル帝国第5代皇帝シャー・ジャハーンによって建設された、イスラーム建築の最高傑作です。,世界の世界遺産,,
q79,タージ・マハルを建立した人物として正しいのは誰でしょう？,アクバル大帝,バーブル帝,アウラングゼーブ,シャー・ジャハーン,シャー・ジャハーンは亡き妻ムムターズ・マハルのためにタージ・マハルを建設し、愛と哀悼の象徴としました。,世界の世界遺産,,
q80,タージ・マハルが建てられた目的として正しいのはどれでしょう？,王の戴冠を記念して建てられた,王国の勝利を記念して建てられた,皇帝の宮殿として建てられた,皇妃ムムターズ・マハルの霊廟として建てられた,タージ・マハルは皇帝シャー・ジャハーンが愛妃ムムターズ・マハルのために建てた白大理石の霊廟です。,世界の世界遺産,,
q81,タージ・マハルの建築的特徴として最もよく知られているのはどれでしょう？,不規則な配置の庭園,非対称の回廊構造,直線的な階段配置,完全な左右対称の構造,タージ・マハルは敷地全体が左右対称に設計され、建物・庭園・水路が調和した美を生み出しています。,世界の世界遺産,,
q82,富岡製糸場が建設された背景にある近代化政策の契機は何でしょう？,江戸幕府の鎖国政策,鎌倉幕府の改革政策,江戸時代の農政改革,明治維新による近代化政策,明治維新後、日本は西洋の技術を導入し、近代国家を目指す中で製糸業を発展させました。,日本の世界遺産,,
q83,富岡製糸場の建設目的として最も正しいのはどれでしょう？,外国貿易の制限,農業生産の拡大,軍需工場の設立,殖産興業の模範工場として建設された,殖産興業とは、国の産業を育てる政策であり、富岡製糸場はその象徴として1872年に建てられました。,日本の世界遺産,,
q84,富岡製糸場の建設に大きく関わったフランス人技術者は誰でしょう？,ルイス・ベーリング,エドワード・モース,アルベール・シャルボン,ポール・ブリュナ,ポール・ブリュナはフランス人技術者で、製糸技術を日本に伝え、富岡製糸場の建設を指導しました。,日本の世界遺産,,
q85,富岡製糸場が完成したのは西暦何年でしょう？,1868年,1875年,1889年,1872年,富岡製糸場は1872年に設立された日本初の官営模範製糸場で、世界に日本の絹を広める拠点となりました。,日本の世界遺産,,
q86,富岡製糸場の発展を支えた生産活動として正しいのはどれでしょう？,製鉄,林業,農耕,養蚕,製糸業は蚕から糸を取る「養蚕」と密接に関係し、良質な生糸を作るための養蚕技術が発展しました。,日本の世界遺産,,
q87,富岡製糸場の建物に使われた特徴的な構造はどれでしょう？,石造りの回廊建築,木造平屋の草葺き建物,鉄骨コンクリート構造,木骨レンガ造りの構造,富岡製糸場は木の骨組みにレンガを組み合わせた「木骨レンガ造り」で、和と洋の技術を融合しています。,日本の世界遺産,,
q88,富岡製糸場に見られる「コロニアル様式」とはどのような建築特徴を指すでしょう？,中国風の装飾を持つ様式,ゴシック風の装飾を持つ様式,アジア各国の木造様式,西洋と日本の建築要素を融合した様式,コロニアル様式は西洋の技術に日本の建築様式を取り入れたもので、富岡製糸場の独自性を高めています。,日本の世界遺産,,
q89,養蚕における「清温育」とは、どのような飼育方法でしょう？,自然任せの放牧育,水分を多く与える湿育法,常に高温を保つ温育法,温度と湿度を一定に保つ育蚕法,清温育とは、室温と湿度を一定に管理して蚕を健康に育てる方法で、安定した生糸の生産を実現しました。,日本の世界遺産,,
q90,「蚕種（さんしゅ）」とは何を指す言葉でしょう？,絹織物の染料,蚕の飼料となる植物,生糸の計量単位,蚕の卵（まゆのもと）,蚕種は蚕の卵を指し、養蚕の品質を決める重要な要素として管理されていました。,日本の世界遺産,,
q91,「清涼育」はどのような環境で行う養蚕法でしょう？,蒸気で加温した室内,密閉された高温環境,地中で温度を保つ方式,自然の風通しを利用した涼しい環境,清涼育は自然の風通しを活かして蚕を育てる伝統的な方法で、夏季に行われることが多い育蚕法です。,日本の世界遺産,,
q92,ダーウェント峡谷の工場群の形成に大きく貢献した人物は誰でしょう？,ジェームズ・ワット,エドワード・カートライト,サミュエル・クロンプトン,リチャード・アークライト,アークライトは水力紡績機を開発し、世界初の近代的な工場システムを確立したことで知られています。,世界の世界遺産,,
q93,ダーウェント峡谷の工場群が世界遺産に登録された理由として正しいのはどれでしょう？,建築様式の独自性,農業技術の発展,鉱山技術の改良,近代的な紡績技術の発展,ダーウェント峡谷では18世紀に近代的な紡績工場が誕生し、産業革命の原点となりました。,世界の世界遺産,,
